,EPISODE_NARRATIVE,EVENT_NARRATIVE,EVENT_NER
10,"Severe thunderstorms developed along and ahead of a cold front that moved into eastern Oklahoma during the evening of the 25th. The storms moved eastward across northwestern Arkansas during the early morning hours of the 26th, resulting in one tornado, hail up to quarter size, and damaging wind. Locally heavy rainfall of three to four inches resulted in flash flooding.",,"b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
11,"Storms formed along a cold front during the afternoon of the 21st, eventually forming a line. Through the evening storms swept eastward through Oklahoma and western north Texas. Significant hail, severe winds, and a few short-lived tornadoes as well as some minor flooding were reported with these storms.",,"b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
12,A strong low pressure system over the Great Lakes and a departing high pressure system to our east lead to a tight pressure gradient and a round of strong winds.,Measured gust at Brandywine Shoal Nos platform.,"b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
13,A strong low pressure system over the Great Lakes and a departing high pressure system to our east lead to a tight pressure gradient and a round of strong winds.,Gust measured at the Ship John Nos Buoy.,"b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
14,"A cold frontal boundary moved through Pennsylvania early in the morning of the 10th. As a result, rain changed to snow. The highest accumulations were in the Poconos with six inches at lake Harmony. A general 2-5 inches fell elsewhere in eastern Pennsylvania with totals even lower as you approached the Delaware river. Most of the snow fell on non-paved surfaces due to the warm road temperatures. However, where heavier bursts of snow fell roads did become slick for a timeperiod. Additional snow squalls later in the day led to additional light coatings and brief white-out conditions. Heidelberg twp saw an additional 1.5 inches of snow.",Snowfall ranged from 4 to 5 inches.,"b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
15,"A cold frontal boundary moved through Pennsylvania early in the morning of the 10th. As a result, rain changed to snow. The highest accumulations were in the Poconos with six inches at lake Harmony. A general 2-5 inches fell elsewhere in eastern Pennsylvania with totals even lower as you approached the Delaware river. Most of the snow fell on non-paved surfaces due to the warm road temperatures. However, where heavier bursts of snow fell roads did become slick for a timeperiod. Additional snow squalls later in the day led to additional light coatings and brief white-out conditions. Heidelberg twp saw an additional 1.5 inches of snow.",Snowfall ranged from 2 to 4 inches.,"b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
16,"A cold frontal boundary moved through Pennsylvania early in the morning of the 10th. As a result, rain changed to snow. The highest accumulations were in the Poconos with six inches at lake Harmony. A general 2-5 inches fell elsewhere in eastern Pennsylvania with totals even lower as you approached the Delaware river. Most of the snow fell on non-paved surfaces due to the warm road temperatures. However, where heavier bursts of snow fell roads did become slick for a timeperiod. Additional snow squalls later in the day led to additional light coatings and brief white-out conditions. Heidelberg twp saw an additional 1.5 inches of snow.",Snowfall ranged from 3 to 4 inches.,"b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
17,A well organized area of low pressure brought mixed precipitation to southern WI beginning in the early morning hours on February 24th and lasting until the morning of February 25th. Ice and snow accumulation made for slick roads and sidewalks. Modest ice accumulation north of Milwaukee resulted in downed tree limbs. There were about 30 school closures on February 24th north of Madison and Milwaukee due to the ice. Thunderstorms with small hail were also reported over southeast and east central WI.,"Periods of light snow, sleet, and freezing rain. Minor ice accumulation and an inch or less of snow accumulation.","b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
18,A well organized area of low pressure brought mixed precipitation to southern WI beginning in the early morning hours on February 24th and lasting until the morning of February 25th. Ice and snow accumulation made for slick roads and sidewalks. Modest ice accumulation north of Milwaukee resulted in downed tree limbs. There were about 30 school closures on February 24th north of Madison and Milwaukee due to the ice. Thunderstorms with small hail were also reported over southeast and east central WI.,"Periods of light snow, sleet, and freezing rain. Minor ice accumulation and less than an inch of snow accumulation.","b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
19,Deep moisture led to numerous thunderstorms developing and moving across the southern half of the Florida Peninsula. Some of these storms created marine wind gusts.,The WeatherFlow station on Boca Grande (XBCG) recorded a 35 knot marine thunderstorm wind gust.,"b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
20,Deep moisture led to numerous thunderstorms developing and moving across the southern half of the Florida Peninsula. One of these storms produced damaging wind gusts.,"One tree was reported knocked down by thunderstorm wind gusts on Washington Loop in Punta Gorda. Additionally, a high profile helicopter was blown onto its side.","b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
21,"A prefrontal trough moved southeast through the Florida Peninsula, producing a band of thunderstorms. Some of these thunderstorms produced gusty winds along the coast.",The NOS/CO-OPs site at the Clearwater Beach Pier produced a 34 knot thunderstorm wind gust.,"b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
22,"A prefrontal trough moved southeast through the Florida Peninsula, producing a band of thunderstorms. Some of these thunderstorms produced gusty winds along the coast.",The WeatherFlow station in Sarasota Bay recorded a 44 knot marine thunderstorm wind gust.,"b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
23,A strong cold front moved across the Billings Forecast Area during the evening of the 20th. A cluster of thunderstorms developed along and just behind the front across northern and central Yellowstone County. These thunderstorms moved quickly into eastern Montana producing a few damaging wind gusts along the way.,,"b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
24,A strong cold front moved across the Billings Forecast Area during the evening of the 20th. A cluster of thunderstorms developed along and just behind the front across northern and central Yellowstone County. These thunderstorms moved quickly into eastern Montana producing a few damaging wind gusts along the way.,,"b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
25,A strong cold front moved across the Billings Forecast Area during the evening of the 20th. A cluster of thunderstorms developed along and just behind the front across northern and central Yellowstone County. These thunderstorms moved quickly into eastern Montana producing a few damaging wind gusts along the way.,Thunderstorm winds estimated at 70 mph uprooted a few trees and demolished a utility building near Shepherd.,"b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
26,A well organized area of low pressure brought mixed precipitation to southern WI beginning in the early morning hours on February 24th and lasting until the morning of February 25th. Ice and snow accumulation made for slick roads and sidewalks. Modest ice accumulation north of Milwaukee resulted in downed tree limbs. There were about 30 school closures on February 24th north of Madison and Milwaukee due to the ice. Thunderstorms with small hail were also reported over southeast and east central WI.,"Periods of light snow, sleet, and freezing rain. Minor ice accumulation and an inch or less of snow accumulation.","b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
27,A well organized area of low pressure brought mixed precipitation to southern WI beginning in the early morning hours on February 24th and lasting until the morning of February 25th. Ice and snow accumulation made for slick roads and sidewalks. Modest ice accumulation north of Milwaukee resulted in downed tree limbs. There were about 30 school closures on February 24th north of Madison and Milwaukee due to the ice. Thunderstorms with small hail were also reported over southeast and east central WI.,"Periods of light snow, sleet, and freezing rain. Minor ice accumulation and less than an inch of snow accumulation.","b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
28,A well organized area of low pressure brought mixed precipitation to southern WI beginning in the early morning hours on February 24th and lasting until the morning of February 25th. Ice and snow accumulation made for slick roads and sidewalks. Modest ice accumulation north of Milwaukee resulted in downed tree limbs. There were about 30 school closures on February 24th north of Madison and Milwaukee due to the ice. Thunderstorms with small hail were also reported over southeast and east central WI.,"Periods of light snow, sleet, and freezing rain. Minor ice accumulation and less than an inch of snow accumulation.","b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
29,A well organized area of low pressure brought mixed precipitation to southern WI beginning in the early morning hours on February 24th and lasting until the morning of February 25th. Ice and snow accumulation made for slick roads and sidewalks. Modest ice accumulation north of Milwaukee resulted in downed tree limbs. There were about 30 school closures on February 24th north of Madison and Milwaukee due to the ice. Thunderstorms with small hail were also reported over southeast and east central WI.,"Periods of light snow, sleet, and freezing rain. Minor ice accumulation and less than an inch of snow accumulation.","b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
30,Scattered showers developed across the Florida Peninsula and eastern Gulf of Mexico under deep southeast flow. Multiple waterspouts were reported near the coast with these showers.,"Multiple calls and pictures were received of a cluster of waterspouts off the coast of Siesta Key. One picture showed 2 waterspouts in close proximity, although one report stated that there were a total of three waterspouts touching down at once.","b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
31,Scattered showers developed across the Florida Peninsula and eastern Gulf of Mexico under deep southeast flow. Multiple waterspouts were reported near the coast with these showers.,"A pilot report was initially received stating there was a waterspout over Old Tampa Bay. Later, numerous reports and pictures were posted on social media of the waterspout being spotted from both the Howard Frankland Bridge and the Courtney Campbell Causeway, as well as from St. Pete-Clearwater International Airport.","b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
32,Deep moisture led to numerous thunderstorms developing and moving across the southern half of the Florida Peninsula. Some of these storms created marine wind gusts.,The AWOS at Venice Municipal Airport (KVNC) reported a 41 knot marine thunderstorm wind gust.,"b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
33,"A cold frontal boundary moved through Pennsylvania early in the morning of the 10th. As a result, rain changed to snow. The highest accumulations were in the Poconos with six inches at lake Harmony. A general 2-5 inches fell elsewhere in eastern Pennsylvania with totals even lower as you approached the Delaware river. Most of the snow fell on non-paved surfaces due to the warm road temperatures. However, where heavier bursts of snow fell roads did become slick for a timeperiod. Additional snow squalls later in the day led to additional light coatings and brief white-out conditions. Heidelberg twp saw an additional 1.5 inches of snow.",Snowfall ranged from 1 to 3 inches.,"b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
34,A well organized area of low pressure brought mixed precipitation to southern WI beginning in the early morning hours on February 24th and lasting until the morning of February 25th. Ice and snow accumulation made for slick roads and sidewalks. Modest ice accumulation north of Milwaukee resulted in downed tree limbs. There were about 30 school closures on February 24th north of Madison and Milwaukee due to the ice. Thunderstorms with small hail were also reported over southeast and east central WI.,"Periods of snow, sleet, and freezing rain. Minor ice accumulation and 3-4 inches of snow accumulation.","b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
35,"A prefrontal trough moved southeast through the Florida Peninsula, producing a band of thunderstorms. Some of these thunderstorms produced gusty winds along the coast.",The COMPS buoy C10 produced a 37 knot thunderstorm wind gust.,"b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
36,"A prefrontal trough moved southeast through the Florida Peninsula, producing a band of thunderstorms. Some of these thunderstorms produced gusty winds along the coast.",The WeatherFlow station on Boca Grande recorded a 50 knot marine thunderstorm wind gust.,"b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
37,"A prefrontal trough moved southeast through the Florida Peninsula, producing a band of thunderstorms. Some of these thunderstorms produced gusty winds along the coast.",A WeatherFlow station at Grove City recorded a 47 knot marine thunderstorm wind gust.,"b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
38,"A prefrontal trough moved southeast through the Florida Peninsula, producing a band of thunderstorms. Some of these thunderstorms produced gusty winds along the coast.",The WeatherFlow station near Sanibel recorded a 39 knot marine thunderstorm wind gust.,"b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
39,Scattered afternoon thunderstorms developed along sea breeze boundaries. At least one of these storms caused damaging wind gusts.,Tree limbs and power lines were reported down on the corner of Shaw Road and Ehrlich Road.,"b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
40,Scattered thunderstorms developed over the eastern Gulf of Mexico and moved into the coast. One of those storms produced gusty winds along the coast.,The WeatherFlow station on Boca Grande recorded a 36 knot wind gust.,"b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
41,"Deep moisture across the area led to scattered thunderstorms developing over the Florida Peninsula and working west towards the coast through the afternoon. Some of these storms produced marine wind gusts, as well as a waterspout.",A WeatherFlow station in the Tampa Bay recorded a 43 knot thunderstorm wind gust.,"b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
42,"Periods of heavy rainfall occurred across portions of the Florida big bend, resulting in some flash flooding around Tallahassee.",The Leon county dispatch relayed a report of 6-7 inches of water covering the intersection of WW Kelly Road and Goodwin Drive.,"b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
43,"Periods of heavy rainfall occurred across portions of the Florida big bend, resulting in some flash flooding around Tallahassee.",Several sources reported that the right lane of Thomasville Road northbound was flooded about 1 foot deep between Woodbine Drive and Papillion Way.,"b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
44,"Periods of heavy rainfall occurred across portions of the Florida big bend, resulting in some flash flooding around Tallahassee.",A road closure due to flash flooding occurred at the 3400 block of North Meridian Road at John Hancock Drive.,"b'{\n  ""usage"": {\n    ""text_units"": 1,\n    ""text_characters"": 90,\n    ""features"": 1\n  },\n  ""language"": ""en"",\n  ""entities"": [\n    {\n      ""type"": ""Location"",\n      ""text"": ""Nevada"",\n      ""relevance"": 0.978348,\n      ""count"": 1,\n      ""confidence"": 0.998778\n    }\n  ]\n}'"
